,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,Citizen,Senior Manager Finance,https://jobs.citizensbank.com/job/boston/senior-manager-finance/288/10870208,0,0
0,Citizen,Digital Coordinator (eCommerce),https://jobs.citizensbank.com/job/charlotte/digital-coordinator-ecommerce/288/10870214,0,0
0,Citizen,Senior Manager Finance,https://jobs.citizensbank.com/job/johnston/senior-manager-finance/288/10870198,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/slippery-rock/relationship-banker/288/10870210,0,0
0,Citizen,"Business Banking Relationship Manager II - Keene, NH",https://jobs.citizensbank.com/job/salem/business-banking-relationship-manager-ii-keene-nh/288/9769793,0,0
0,Citizen,"Business Banking Relationship Manager II - Keene, NH",https://jobs.citizensbank.com/job/portsmouth/business-banking-relationship-manager-ii-keene-nh/288/9769794,0,0
0,Citizen,"Business Banking Relationship Manager II - Keene, NH",https://jobs.citizensbank.com/job/nashua/business-banking-relationship-manager-ii-keene-nh/288/9769791,0,0
0,Citizen,"Business Banking Relationship Manager II - Keene, NH",https://jobs.citizensbank.com/job/keene/business-banking-relationship-manager-ii-keene-nh/288/9045697,0,0
0,Citizen,Collection Recovery Senior Specialist,https://jobs.citizensbank.com/job/johnston/collection-recovery-senior-specialist/288/10867857,0,0
0,Citizen,eCommerce Marketing Partner,https://jobs.citizensbank.com/job/charlotte/ecommerce-marketing-partner/288/10457103,0,0
0,Citizen,eCommerce Marketing Partner,https://jobs.citizensbank.com/job/dedham/ecommerce-marketing-partner/288/10457092,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/trenton/associate-licensed-relationship-banker/288/10862136,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/fairview-park/customer-service-teller/288/10862137,0,0
0,Citizen,Retail Branch Manager Tier 3,https://jobs.citizensbank.com/job/brunswick/retail-branch-manager-tier-3/288/10862126,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/braintree/small-business-relationship-banker/288/10862130,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/milton/relationship-banker/288/10862138,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/westlake/relationship-banker/288/10862140,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/narberth/personal-banker-universal/288/10862131,0,0
